name,category,subCategory,launched,result,backers,country,pledged,goal,value
EVOLUTION PODIUM LE NO LIMIT 64,Music,Music,2017/10/08,failed,0,France,0,2256.64,1
TEAMDESK - Teamwork in a whole new way !,Product Design,Design,2017/10/17,failed,14,France,2485.87,35631.15,1
Multifunctional laptop case,Design,Design,2017/10/12,failed,11,France,517.84,9501.64,1
Calendrier gourmand 2018 / Food Calendar 2018,Illustration,Art,2017/11/04,successful,105,France,4243.67,1817.19,1
"À la belle étoile, le quotidien d'un photographe.",Nature,Photography,2017/10/21,canceled,5,France,59.39,5938.52,1
Botox Fiction,Shorts,Film & Video,2017/10/18,failed,2,France,136.59,53446.72,1
Record Label and Charity Organisation,Music,Music,2017/10/16,canceled,2,France,77.2,23754.1,1
Dragon Stone! The new Fashion Jewelry Star of Celebrities!,Jewelry,Fashion,2017/10/20,failed,0,France,0,1187.7,1
GrappyBand,Product Design,Design,2017/10/15,failed,4,France,131.97,23754.1,1
Andiaho illustrations,Interactive Design,Design,2017/10/02,failed,0,France,0,32068.03,1
Culture Club (émission radio à Dijon),Audio,Journalism,2017/10/18,canceled,0,France,0,1179.5,1
Lasso bag: carry your essentials in simplicity and style.,Product Design,Design,2017/10/18,successful,188,France,39787.93,20051.43,1
Inktober Days 01 : Artbook,Illustration,Art,2017/10/16,failed,41,France,1197.19,1415.39,1
